Instrument,SEC_CODE
LP61500001,KFSEQ-D
LP61500003,KFSMUL
LP61500005,KFSPLUS-A
LP61500009,UOBSMG
LP61500010,TCMF
LP61500011,TFIF
LP61500013,ABG
LP61500015,ABCC
LP61500018,TISCOEGF
LP61500020,TISCOFLEXP
LP61500022,TISCOFLEX
LP61500024,TISCOAGF
LP61500026,TISCOEQF
LP61500034,BKA
LP61500035,BKA2
LP61500036,BKD
LP61500037,B-INFRA
LP61500038,BTK
LP61500039,BTP
LP61500040,BBASIC
LP61500041,BCAP
LP61500042,KPLUS
LP61500043,KPLUS2
LP61500044,KKF
LP61500045,TDF
LP61500051,TBF
LP61500052,TEF
LP61500055,KTFIXPLUS-D
LP61500057,KAF
LP61500059,SMARTMF
LP61500060,DE-1
LP61500062,SSB
LP61500063,SAN
LP61500064,TNP
LP61500065,TS
LP61500066,SCIF
LP61500067,SCIF2
LP61500070,UNF
LP61500071,RPF2
LP61500072,RRF1
LP61500075,BMBF
LP61500076,STD
LP61500077,STD2
LP61500078,SCDF
LP61500080,SF4
LP61500081,SF5
LP61500082,SF7
LP61500083,SF8
LP61500084,MFX
LP61500085,MFF
LP61500087,AGF
LP61500088,ASP
LP61500089,ONE-DI
LP61500093,ES-CSD
LP61500099,ES-EQUITY
LP61500106,ES-PPSD
LP61500110,ES-STSD
LP61500112,ES-TSARN
LP61500113,ES-TSB
LP61500121,THANA1
LP61500123,ONE-MIDSMALL
LP61500125,ONE-FLEX
LP61500129,SYRUS-M
LP61500131,ONE-UB 3
LP61500134,ONE-FAR
LP61500135,ONE-G
LP61500140,ONE-EQ
LP61500141,ONE-FAS
LP61500145,K-EQUITY
LP61500146,RKF4
LP61500147,K-STEQ-A(A)
LP61500148,K-FIXED-A
LP61500150,RKBC
LP61500156,K-VALUE
LP61500158,K-SELECT
LP61500160,K-CBOND-A
LP61500161,K-FEQ
LP61500165,TISCOEDF
LP61500167,ES-MF
LP61500168,ES-CB
LP61500169,ES-SET50-A
LP61500170,SCBSET
LP61500175,SCBDA
LP61500176,SCBRF
LP61500178,SCBSFF
LP61500181,SCBPMO
LP61500221,TOF
LP61500222,ES-TM
LP61500226,KFFLEX-D
LP61500232,K-GA-A(D)
LP61500242,B-FLEX
LP61500294,KTSF
LP61500582,ABFC
LP61500593,FLEXAR
LP61500608,TW-BAL
LP61500615,ABTED
LP61500634,ES-TTW
LP61500656,SCBDV
LP61500662,KFFIN-D
LP61500673,KFMTFI-D
LP61500702,MBT-G
LP61500709,KTSE
LP61500712,KFDYNAMIC
LP61500716,ABV
LP61500731,1AMSET50-RA
LP61500744,KFSEQ
LP61500765,ES-EQPLUS
LP61500775,ABSL
LP61500784,VAYU1B
LP61500787,BKKCP
LP61500788,TEF-DIV
LP61500791,KFCASH-A
LP61500811,TSF-A
LP61500819,KFVALUE-A
LP61500820,KFDNM-D
LP61500833,B-ACTIVE
LP61500845,M-S50-G
LP61500895,ES-SET50DV
LP61500976,ES-JB25
LP61500989,1S-LTF-T
LP61500990,CG-LTF
LP61500992,KEQLTF-C(L)
LP61500993,KDLTF-C(L)
LP61500994,ES-LTFD
LP61500995,ES-BIGCAPLTF
LP61500998,SCBLT1
LP61500999,SCBLT2
LP61501003,ABLTF
LP61501006,KFLTFA50-D
LP61501008,MVLTF
LP61501009,KKP LTFD
LP61501011,B-LTF
LP61501013,KFLTF50
LP61501018,UOBLTF
LP61501021,KFLTFDIV
LP61501024,ES-JB25LTFD
LP61501025,ES-JBPLTFD
LP61501027,KTLF-L
LP61501029,TISCOLTF-A
LP61501033,KKP PLUS
LP61501040,ASP-LTF-T
LP61501055,PRINCIPAL ELTF-T
LP61501059,1VAL-RD
LP61501064,MIF-G
LP61501090,MIPF
LP61501118,MMM-MF
LP61501121,B-TNTV
LP61501169,K-TREASURY
